State_ANSI,Ag_District_Code,Ag_District
1,10,"NORTHERN VALLEY"
1,20,"MOUNTAINS & EASTERN VALLEY"
1,30,"UPPER PLAINS & PIEDMONT"
1,40,"BLACK BELT"
1,50,"COASTAL PLAINS & GULF COAST"
1,60,WIREGRASS
4,10,NORTHERN
4,80,SOUTHERN
5,10,NORTHWEST
5,20,"NORTH CENTRAL"
5,30,NORTHEAST
5,40,"WEST CENTRAL"
5,50,CENTRAL
5,60,"EAST CENTRAL"
5,70,SOUTHWEST
5,80,"SOUTH CENTRAL"
5,90,SOUTHEAST
6,10,"NORTHERN COAST"
6,20,SISKIYOU-SHASTA
6,30,NORTHEAST
6,40,"CENTRAL COAST"
6,50,"SACRAMENTO VALLEY"
6,51,"SAN JOAQUIN VALLEY"
6,60,"SIERRA MOUNTAINS"
6,80,"SOUTHERN CALIFORNIA"
8,10,"NORTHWEST AND MOUNTAIN"
8,20,NORTHEAST
8,60,"EAST CENTRAL"
8,70,SOUTHWEST
8,80,"SAN LUIS VALLEY"
8,90,SOUTHEAST
9,10,"ALL COUNTIES"
10,20,NORTHERN
10,50,CENTRAL
10,80,SOUTHERN
12,10,NORTHWEST
12,30,NORTHEAST
12,50,CENTRAL
12,80,SOUTHERN
13,10,NORTHWEST
13,20,"NORTH CENTRAL"
13,30,NORTHEAST
13,40,"WEST CENTRAL"
13,50,CENTRAL
13,60,"EAST CENTRAL"
13,70,SOUTHWEST
13,80,"SOUTH CENTRAL"
13,90,SOUTHEAST
15,11,"HAWAII ISLAND"
15,24,"KAUAI AND NIIHAU ISLANDS"
15,35,"MAUI, MOLOKAI & LANAI ISLAND"
15,62,"OAHU ISLAND"
16,10,NORTH
16,70,SOUTHWEST
16,80,"SOUTH CENTRAL"
16,90,EAST
17,10,NORTHWEST
17,20,NORTHEAST
17,30,WEST
17,40,CENTRAL
17,50,EAST
17,60,"WEST SOUTHWEST"
17,70,"EAST SOUTHEAST"
17,80,SOUTHWEST
17,90,SOUTHEAST
18,10,NORTHWEST
18,20,"NORTH CENTRAL"
18,30,NORTHEAST
18,40,"WEST CENTRAL"
18,50,CENTRAL
18,60,"EAST CENTRAL"
18,70,SOUTHWEST
18,80,"SOUTH CENTRAL"
18,90,SOUTHEAST
19,10,NORTHWEST
19,20,"NORTH CENTRAL"
19,30,NORTHEAST
19,40,"WEST CENTRAL"
19,50,CENTRAL
19,60,"EAST CENTRAL"
19,70,SOUTHWEST
19,80,"SOUTH CENTRAL"
19,90,SOUTHEAST
20,10,NORTHWEST
20,20,"WEST CENTRAL"
20,30,SOUTHWEST
20,40,"NORTH CENTRAL"
20,50,CENTRAL
20,60,"SOUTH CENTRAL"
20,70,NORTHEAST
20,80,"EAST CENTRAL"
20,90,SOUTHEAST
21,10,PURCHASE
21,20,MIDWESTERN
21,30,CENTRAL
21,40,NORTHERN
21,50,BLUEGRASS
21,60,"EASTERN OR MOUNTAIN"
22,10,NORTHWEST
22,20,"NORTH CENTRAL"
22,30,NORTHEAST
22,40,"WEST CENTRAL"
22,50,CENTRAL
22,60,"EAST CENTRAL"
22,70,SOUTHWEST
22,80,"SOUTH CENTRAL"
22,90,SOUTHEAST
23,10,NORTH
23,20,CENTRAL
23,30,SOUTH
24,10,WESTERN
24,20,"NORTH CENTRAL"
24,30,"UPPER EASTERN SHORE"
24,80,SOUTHERN
24,90,"LOWER EASTERN SHORE"
25,10,"ALL COUNTIES"
26,10,"UPPER PENINSULA"
26,20,NORTHWEST
26,30,NORTHEAST
26,40,"WEST CENTRAL"
26,50,CENTRAL
26,60,"EAST CENTRAL"
26,70,SOUTHWEST
26,80,"SOUTH CENTRAL"
26,90,SOUTHEAST
27,10,NORTHWEST
27,20,"NORTH CENTRAL"
27,30,NORTHEAST
27,40,"WEST CENTRAL"
27,50,CENTRAL
27,60,"EAST CENTRAL"
27,70,SOUTHWEST
27,80,"SOUTH CENTRAL"
27,90,SOUTHEAST
28,10,"UPPER DELTA"
