state_ansi,county_ansi,year,colonies
1,0,2002,19592
1,1,2002,212
1,3,2002,1802
1,9,2002,107
1,15,2002,99
1,17,2002,17
1,19,2002,12
1,29,2002,35
1,31,2002,33
1,35,2002,27
1,39,2002,56
1,43,2002,129
1,45,2002,246
1,49,2002,693
1,55,2002,151
1,73,2002,216
1,75,2002,85
1,77,2002,110
1,79,2002,8
1,83,2002,168
1,85,2002,2500
1,89,2002,1060
1,93,2002,105
1,95,2002,132
1,97,2002,4438
1,101,2002,2381
1,103,2002,10
1,111,2002,9
1,115,2002,95
1,117,2002,81
1,119,2002,6
1,121,2002,135
1,123,2002,2399
1,127,2002,22
1,133,2002,16
2,0,2002,94
4,0,2002,38864
4,1,2002,5
4,3,2002,1201
4,13,2002,16223
4,15,2002,25
4,19,2002,3341
4,21,2002,754
4,25,2002,245
4,27,2002,14833
5,0,2002,38924
5,5,2002,304
5,7,2002,277
5,9,2002,366
5,11,2002,12
5,15,2002,103
5,19,2002,41
5,21,2002,180
5,23,2002,47
5,29,2002,163
5,31,2002,14467
5,33,2002,88
5,37,2002,1100
5,41,2002,877
5,43,2002,18
5,45,2002,145
5,47,2002,151
5,49,2002,15
5,51,2002,58
5,53,2002,152
5,55,2002,359
5,59,2002,22
5,63,2002,274
5,65,2002,31
5,69,2002,348
5,71,2002,124
5,75,2002,230
5,83,2002,52
5,85,2002,512
5,87,2002,126
5,89,2002,63
5,93,2002,629
5,101,2002,9
5,105,2002,9
5,113,2002,30
5,115,2002,188
5,117,2002,146
5,119,2002,403
5,125,2002,84
5,127,2002,11
5,129,2002,17
5,131,2002,210
5,135,2002,71
5,137,2002,332
5,139,2002,501
5,143,2002,136
5,147,2002,450
5,149,2002,20
6,0,2002,484510
6,7,2002,14906
6,11,2002,8480
6,13,2002,1935
6,17,2002,907
6,19,2002,23627
6,21,2002,22330
6,23,2002,1785
6,25,2002,24652
6,29,2002,34653
6,31,2002,4642
6,33,2002,302
6,35,2002,87
6,37,2002,4998
6,39,2002,12140
6,43,2002,24
6,45,2002,1253
6,47,2002,30913
6,57,2002,1547
6,59,2002,1634
6,61,2002,5210
6,65,2002,16407
6,67,2002,10619
6,69,2002,865
6,71,2002,25683
6,73,2002,24327
6,77,2002,9027
6,79,2002,843
6,81,2002,248
6,85,2002,354
6,87,2002,2923
6,89,2002,23536
6,93,2002,35
6,95,2002,8506
6,97,2002,5660
6,99,2002,18252
6,101,2002,21453
6,103,2002,6063
6,105,2002,66
6,107,2002,60398
6,109,2002,658
6,111,2002,6503
6,113,2002,13719
6,115,2002,2674
8,0,2002,26463
8,1,2002,55
8,11,2002,5273
8,13,2002,197
8,21,2002,2000
8,27,2002,87
8,29,2002,16
8,35,2002,316
8,39,2002,407
8,41,2002,263
8,43,2002,913
8,49,2002,4
8,59,2002,58
8,69,2002,314
8,75,2002,16
8,77,2002,857
8,81,2002,10
8,83,2002,134
8,85,2002,331
8,101,2002,452
8,107,2002,23
8,109,2002,605
9,0,2002,4071
9,1,2002,376
9,3,2002,1405
9,5,2002,749
9,7,2002,13
9,9,2002,601
9,11,2002,297
9,13,2002,153
9,15,2002,477
10,0,2002,452
10,1,2002,204
10,3,2002,14
10,5,2002,234
12,0,2002,226332
12,1,2002,3292
12,5,2002,1402
12,9,2002,3106
12,11,2002,2000
12,13,2002,1631
12,15,2002,6800
12,17,2002,875
12,19,2002,214
12,21,2002,4152
12,23,2002,2720
12,27,2002,8835
12,31,2002,150
12,33,2002,1906
12,37,2002,3200
12,39,2002,322
12,41,2002,6
12,45,2002,2731
12,49,2002,5914
12,51,2002,3024
12,53,2002,7
12,55,2002,2938
12,57,2002,5438
12,59,2002,199
12,61,2002,2799
12,63,2002,620
12,69,2002,24895
12,71,2002,10292
12,75,2002,165
12,77,2002,9305
12,79,2002,170
12,81,2002,7464
12,83,2002,1442
12,85,2002,1298
12,86,2002,4238
12,89,2002,156
12,91,2002,1806
12,93,2002,323
12,95,2002,4831
12,97,2002,2120
12,99,2002,10892
12,101,2002,3084
12,103,2002,132
12,105,2002,14856
12,109,2002,12
12,111,2002,3135
12,113,2002,1266
12,115,2002,1840
12,117,2002,184
12,119,2002,33
12,121,2002,7
12,125,2002,120
12,129,2002,9100
12,133,2002,378
13,0,2002,68345
13,3,2002,46
13,9,2002,3
13,11,2002,23
13,15,2002,12
13,19,2002,604
13,29,2002,75
13,31,2002,1014
13,35,2002,13
13,45,2002,245
13,55,2002,45
13,57,2002,18
13,65,2002,12650
13,67,2002,168
13,69,2002,1622
13,77,2002,6
13,85,2002,27
13,87,2002,15
13,91,2002,71
13,97,2002,6
13,99,2002,6
13,101,2002,4243
13,105,2002,18
13,111,2002,1128
13,115,2002,16
13,117,2002,482
13,119,2002,4
13,121,2002,29
13,127,2002,460
13,129,2002,6
13,135,2002,5
13,139,2002,703
13,147,2002,75
13,151,2002,5
13,153,2002,6
13,157,2002,17
13,161,2002,1200
13,173,2002,1676
13,175,2002,75
13,185,2002,6
13,195,2002,10
13,207,2002,34
13,217,2002,20
13,219,2002,145
13,223,2002,20
13,225,2002,5
13,237,2002,3
13,241,2002,501
13,261,2002,360
13,271,2002,62
13,281,2002,300
13,287,2002,2002
13,291,2002,90
13,295,2002,31
13,297,2002,128
13,299,2002,3105
13,311,2002,1434
13,313,2002,28
13,317,2002,3
15,0,2002,14365
15,1,2002,10859
15,3,2002,527
15,7,2002,2080
15,9,2002,899
16,0,2002,92555
16,5,2002,5
16,11,2002,6675
16,27,2002,20157
16,51,2002,376
16,65,2002,601
16,69,2002,3221
16,73,2002,4901
16,83,2002,9521
16,87,2002,3500
17,0,2002,5245
17,5,2002,18
17,7,2002,218
17,19,2002,89
17,21,2002,10
17,27,2002,12
17,31,2002,197
17,37,2002,73
17,41,2002,11
17,51,2002,26
17,55,2002,45
17,57,2002,27
17,77,2002,30
17,81,2002,29
17,85,2002,60
17,89,2002,559
17,93,2002,17
17,95,2002,183
17,97,2002,28
17,101,2002,12
17,105,2002,5
17,107,2002,163
17,111,2002,802
17,113,2002,113
17,119,2002,121
17,135,2002,26
17,139,2002,6
17,141,2002,37
17,143,2002,46
17,145,2002,157
17,147,2002,19
17,163,2002,423
17,165,2002,6
17,173,2002,10
17,179,2002,245
17,181,2002,46
17,183,2002,45
17,191,2002,28
17,195,2002,17
17,197,2002,69
17,199,2002,13
18,0,2002,9996
18,1,2002,247
18,3,2002,132
18,5,2002,23
18,13,2002,29
18,15,2002,70
18,17,2002,6
18,19,2002,5
18,23,2002,37
18,25,2002,232
18,27,2002,15
18,29,2002,31
18,39,2002,412
18,47,2002,24
18,49,2002,44
18,51,2002,564
18,53,2002,5
18,55,2002,41
18,57,2002,603
18,59,2002,9
18,61,2002,37
18,63,2002,98
18,73,2002,40
18,75,2002,161
18,77,2002,9
18,79,2002,9
18,81,2002,9
18,87,2002,563
18,91,2002,53
18,95,2002,42
18,99,2002,157
18,101,2002,216
18,105,2002,404
18,109,2002,49
18,113,2002,12
18,117,2002,3
18,119,2002,13
18,123,2002,18
18,125,2002,120
18,127,2002,184
18,129,2002,7
18,133,2002,177
18,135,2002,20
18,137,2002,8
18,141,2002,1137
18,143,2002,4
18,145,2002,120
18,149,2002,56
18,155,2002,11
18,157,2002,73
18,167,2002,11
18,177,2002,92
18,179,2002,18
18,183,2002,17
19,0,2002,30641
19,5,2002,1365
19,7,2002,31
19,9,2002,532
19,15,2002,11
19,17,2002,204
19,19,2002,61
19,31,2002,103
19,43,2002,709
19,51,2002,112
19,61,2002,260
19,87,2002,16
19,91,2002,14
19,99,2002,418
19,103,2002,74
19,113,2002,752
19,121,2002,10
19,123,2002,52
19,131,2002,11
19,135,2002,33
19,145,2002,1791
19,153,2002,276
19,155,2002,882
19,169,2002,130
19,177,2002,17
19,181,2002,13
19,183,2002,247
19,191,2002,217
19,193,2002,1003
20,0,2002,15035
20,11,2002,15
20,13,2002,57
20,15,2002,49
20,31,2002,14
20,35,2002,11
20,37,2002,77
20,45,2002,120
20,59,2002,51
20,63,2002,178
20,85,2002,154
20,87,2002,114
20,91,2002,329
20,103,2002,43
20,121,2002,77
20,125,2002,27
20,133,2002,16
20,139,2002,5
20,155,2002,54
20,157,2002,504
20,173,2002,221
20,177,2002,4
20,197,2002,6
20,201,2002,4371
20,205,2002,104
21,0,2002,6850
21,1,2002,8
21,3,2002,234
21,5,2002,51
21,9,2002,37
21,11,2002,7
21,15,2002,206
21,17,2002,201
21,19,2002,16
21,21,2002,47
21,23,2002,9
21,25,2002,12
21,27,2002,95
21,29,2002,49
21,31,2002,17
21,35,2002,68
21,37,2002,151
21,41,2002,25
21,43,2002,14
21,45,2002,37
21,47,2002,55
21,49,2002,72
21,51,2002,65
21,53,2002,151
21,55,2002,24
21,57,2002,20
21,63,2002,82
21,65,2002,45
21,67,2002,38
21,69,2002,4
21,79,2002,415
21,81,2002,59
21,85,2002,57
21,89,2002,20
21,93,2002,828
21,97,2002,26
21,99,2002,51
21,103,2002,72
21,107,2002,4
21,109,2002,81
21,111,2002,141
21,113,2002,214
21,115,2002,6
21,121,2002,13
21,123,2002,12
21,125,2002,65
21,127,2002,18
21,129,2002,10
21,135,2002,33
21,137,2002,17
21,139,2002,92
21,141,2002,38
21,151,2002,46
21,153,2002,7
21,155,2002,54
21,161,2002,36
21,163,2002,26
21,165,2002,19
21,167,2002,4
21,169,2002,31
21,171,2002,62
21,175,2002,51
21,179,2002,45
21,181,2002,172
21,183,2002,36
21,185,2002,48
21,187,2002,20
21,191,2002,94
21,193,2002,12
21,195,2002,19
21,199,2002,88
21,203,2002,27
21,207,2002,17
21,209,2002,72
21,211,2002,57
21,213,2002,11
21,215,2002,36
21,217,2002,136
21,219,2002,57
21,221,2002,5
21,223,2002,28
21,227,2002,39
21,229,2002,30
21,231,2002,24
21,235,2002,46
21,239,2002,47
22,0,2002,29990
22,5,2002,48
22,9,2002,6350
22,11,2002,80
22,13,2002,4
22,15,2002,753
22,17,2002,68
22,19,2002,814
22,31,2002,78
22,33,2002,397
22,37,2002,6
22,39,2002,9
22,41,2002,66
22,43,2002,1156
22,47,2002,16
22,53,2002,1200
22,55,2002,1054
22,57,2002,11
22,61,2002,88
22,63,2002,30
22,69,2002,21
22,73,2002,5
22,85,2002,70
22,89,2002,54
22,97,2002,3870
22,103,2002,186
22,105,2002,37
22,115,2002,196
23,0,2002,7098
23,1,2002,773
23,3,2002,109
23,5,2002,341
23,7,2002,78
23,9,2002,59
23,11,2002,1208
23,17,2002,1644
23,21,2002,34
23,23,2002,104
23,25,2002,119
23,29,2002,346
23,31,2002,110
24,0,2002,6568
24,1,2002,109
24,3,2002,271
24,5,2002,323
24,9,2002,38
24,13,2002,241
24,15,2002,11
24,17,2002,259
24,19,2002,51
24,21,2002,734
24,23,2002,28
24,25,2002,572
24,27,2002,48
24,31,2002,281
