Geo_Level,State_ANSI,County_ANSI,State,Area_Name
COUNTRY,0,0,US,"United States"
STATE,1,0,AL,Alabama
county,1,1,AL,"Autauga County"
county,1,3,AL,"Baldwin County"
county,1,5,AL,"Barbour County"
county,1,7,AL,"Bibb County"
county,1,9,AL,"Blount County"
county,1,11,AL,"Bullock County"
county,1,13,AL,"Butler County"
county,1,15,AL,"Calhoun County"
county,1,17,AL,"Chambers County"
county,1,19,AL,"Cherokee County"
county,1,21,AL,"Chilton County"
county,1,23,AL,"Choctaw County"
county,1,25,AL,"Clarke County"
county,1,27,AL,"Clay County"
county,1,29,AL,"Cleburne County"
county,1,31,AL,"Coffee County"
county,1,33,AL,"Colbert County"
county,1,35,AL,"Conecuh County"
county,1,37,AL,"Coosa County"
county,1,39,AL,"Covington County"
county,1,41,AL,"Crenshaw County"
county,1,43,AL,"Cullman County"
county,1,45,AL,"Dale County"
county,1,47,AL,"Dallas County"
county,1,49,AL,"DeKalb County"
county,1,51,AL,"Elmore County"
county,1,53,AL,"Escambia County"
county,1,55,AL,"Etowah County"
county,1,57,AL,"Fayette County"
county,1,59,AL,"Franklin County"
county,1,61,AL,"Geneva County"
county,1,63,AL,"Greene County"
county,1,65,AL,"Hale County"
county,1,67,AL,"Henry County"
county,1,69,AL,"Houston County"
county,1,71,AL,"Jackson County"
county,1,73,AL,"Jefferson County"
county,1,75,AL,"Lamar County"
county,1,77,AL,"Lauderdale County"
county,1,79,AL,"Lawrence County"
county,1,81,AL,"Lee County"
county,1,83,AL,"Limestone County"
county,1,85,AL,"Lowndes County"
county,1,87,AL,"Macon County"
county,1,89,AL,"Madison County"
county,1,91,AL,"Marengo County"
county,1,93,AL,"Marion County"
county,1,95,AL,"Marshall County"
county,1,97,AL,"Mobile County"
county,1,99,AL,"Monroe County"
county,1,101,AL,"Montgomery County"
county,1,103,AL,"Morgan County"
county,1,105,AL,"Perry County"
county,1,107,AL,"Pickens County"
county,1,109,AL,"Pike County"
county,1,111,AL,"Randolph County"
county,1,113,AL,"Russell County"
county,1,115,AL,"St. Clair County"
county,1,117,AL,"Shelby County"
